1	
abhiravanti    
abhirūpo    
abhisaddo    
abhisamayo    
abhisamayā    
abhisambodhi    
abhisaṅkhataṃ    
abhisaṅkhatā    
abhissanno    
abhitthutaguṇo    
abhivaditabbaṃ    
abhivandisuṃ    
abhivassanti    
abhivinayetiādīsu    
abhivādetvāna    
abhiyācito    
abhiññatthāya    
abhiññā    
abhiññābala    
abhiññābalamāhariṃ    
abhiññābalasampanno    
abhiññānañca    
abhiññāpāramiṃ    
abhiññāsu    
abhiññātā    
abhiññāya    
abhiññāyo    
abhiṇhaso    
abyākataṃ    
abyākato    
abyākatā    
abyākatāti    
acalo    
acchariyaabbhutadhammappaṭisaṃyuttā    
acchariyā    
acchariyāni    
acetanabhāvena    
acinteyyāni    
acinteyyānipi    
ada    
adaṃsu    
addasa    
addhā    
addhāne    
adhicittasikkhā    
adhigamanidānadesanānidānasampannassa    
adhigamanidānañca    
adhigamanidānaṃ    
adhigantvāva    
adhigatavisesena    
adhigataṃ    
adhigato    
adhigatābhidhammo    
adhigañchi    
adhigaṇhitvā    
adhike    
adhikāpi    
adhikārena    
adhikāro    
adhimattadhitimā    
adhimattagatimā    
adhimattasatimā    
adhipati    
adhipatipaccayo    
adhipaññāsikkhā    
adhippeto    
adhippāyaṃ    
adhippāyena    
adhippāyo    
adhisīlasikkhā    
adhivāsentassa    
adhivāsesi    
adhiṭṭhahantassa    
adhiṭṭhānapāramitā    
adhiṭṭhānapāramiṃ    
adhiṭṭhāne    
adhiṭṭhāniddhi    
adhiṭṭhāya    
adho    
adhokato    
adhomukhaṭhapitaudakaghaṭā    
advejjhamānaso    
advejjhavacano    
adāsi    
agamāsi    
aggahesuṃ    
aggahetvā    
aggahetvāna    
aggaphalasukhanti    
aggaphale    
aggasāvakassa    
aggasāvakā    
aggasāvikā    
aggaḷadānaṃ    
aggidatto    
aggijālaṃ    
aggikkhandhova    
aggisālāyaṃ    
aggā    
aggī    
agāmake    
ahampi    
ahañhi    
ahaṃ    
ahesuṃ    
ahitāya    
ahosi    
ahosīti    
ahu    
ajapālamucalindarājāyatanesu    
ajapālanigrodharukkhamūle    
ajaṭākāsaṃ    
ajinacammaṃ    
ajito    
ajja    
ajjapetaṃ    
ajjhesanaṃ    
ajjhogāhetvā    
ajjhositabbaṃ    
ajjhotthaṭaṃ    
ajjhācārapaṭipakkhabhūto    
ajjhāsayaṃ    
ajjunarukkho    
ajjāpi    
ajānanasippaṃ    
ajānanto    
ajānitvāpi    
ajātipicchitabbakaṃ    
akathetvā    
akatvā    
akilamatthaṃ    
akittibrāhmaṇakāle    
akkamittha    
akkamitvā    
akkharāni    
akkhitto    
akkhātanti    
akkhātaṃ    
akkhāto    
akkhātoti    
akkhīnañca    
akkhīni    
akusalato    
akusalavipākato    
akusalaṃ    
akusalā    
akāraṇaṃ    
akāsi    
alabbhaneyyapatiṭṭhañca    
alabbhaneyyapatiṭṭhā    
alabhiṃ    
alagaddagavesī    
alagaddapariyesanaṃ    
alagaddassa    
alagaddatthiko    
alagaddaṃ    
alagaddo    
alagaddūpamā    
alaṅkatacaṅkamassa    
alaṅkatapaṭiyatto    
alīnasattukumārakāleti    
amaccagaṇaparivuto    
amacco    
amakkhetvāva    
amaravatiyā    
amaravatī    
amatantaḷe    
amatappakāsano    
amatapānaṃ    
amatassa    
amataṃ    
ambare    
amhe    
amhākaṃ    
amitabhogaṃ    
amitā    
amoghavacanā    
anamataggova    
anantamaparimāṇaṃ    
anantarapaccayo    
anantayasaṃ    
anantaṃ    
ananto    
anantā    
ananucchavikena    
anapaloketvā    
anapekkhabhāvo    
anapekkho    
anapekkhā    
anativattentassa    
anatthaṅgamiteyeva    
anatthiko    
anatthikā    
anavajjapiṇḍapariyesanabhāvo    
anavajjasaññī    
anaññātaññassāmītindriyaṃ    
andhakāravelāyaṃ    
andhakāraṃ    
andugharaṃ    
andughare    
anekajjhāsayānusayacariyādhimuttikā    
anekakoṭisatasahassānaṃ    
anekappakāraṃ    
anekehi    
anekesu    
anekānusandhikaṃ    
anibbisaṃ    
aniccato    
animisasattāhaṃ    
animisehi    
annapānasamāyutaṃ    
annapānena    
anojapupphadāmasadisaṃ    
anomadassī    
anomaṃ    
anomo    
anomā    
anomānadītīre    
anotattadahatīre    
anotattadahaṃ    
anotattadahe    
antalikkhe    
antamaso    
antarantena    
antare    
antarāmagge    
antarāpatti    
antarāye    
antarāyikā    
antarāyāyāti    
antesu    
anto    
antopaṇṇasālāyaṃ    
antorukkhatā    
anubhavamāno    
anubhavanto    
anucchavikaṃ    
anucchavikesu    
anuciṇṇaṃ    
anukkamena    
anulomamhi    
anulomapaccanīyamhi    
anulomapaccanīye    
anulomapaccanīyepi    
anulomapaṭilomasaṅkhepavitthārādivasena    
anulomapaṭṭhāne    
anulome    
anulomiko    
anumodanaṃ    
anumodentānaṃ    
anumoditakālato    
anupacitakusalasambhārehi    
anupadaṃ    
anupagantvā    
anupakuṭṭho    
anupaparikkhataṃ    
anupaññattinayā    
anuppāde    
anupubbikathaṃ    
anupubbikathā    
anupādāya    
anupāpuṇi    
anurakkhanto    
anuruddho    
anusandhivasena    
anusayapaṭipakkhattā    
anusayappahānaṃ    
anusayayamakaṃ    
anusaṅgītā    
anussaritvā    
anuttaro    
anuttarā    
anuyanti    
anuññātasukhasamphassaattharaṇapāvuraṇādiphassasāmaññato    
anuḷā    
anāgate    
anākulaṃ    
anāpatti    
apa    
apacitidassanatthaṃ    
apagatavāḷamigabhiṃsanakasakuṇaṃ    
apakkamitvā    
aparabhāge    
aparaṃ    
aparihīnajjhāno    
aparimāṇo    
aparimāṇoyeva    
aparimāṇā    
aparimāṇāva    
aparituṭṭho    
aparānipi    
aparāparaṃ    
apassanto    
appagghaṃ    
appamattikāva    
appamaññāvibhaṅgo    
appamaññāyo    
appameyyo    
appamādena    
appamāṇā    
appasamārambhatā    
appaṭicchādanabhāvo    
appaṭihatabhāvoti    
appesakkhā    
apphoṭenti    
appicchabhāvo    
appossukkataṃ    
apubbaṃ    
apuññaṃ    
arahantehi    
arahanto    
arahato    
arahattaṃ    
arahatte    
arakapaṇḍitakāle    
arati    
araññaṃ    
araññe    
araṇā    
arindamo    
ariyamagge    
ariyapariyesana    
ariyo    
aruṇavatī    
aruṇavā    
aruṇuggamanā    
arīhi    
arūpino    
arūpāvacarakusalato    
asakkhikaṃ    
asallakkhentā    
asamassa    
asame    
asammaṭṭhampi    
asammissaṃ    
asammohato    
asamo    
asampuṇṇabhāṇavāramattāya    
asamā    
asanarukkho    
asanthambhanabhāvo    
asaññaṃ    
asaṃsaṭṭhabhāvo    
asaṅgahitanti    
asaṅgahitaṃ    
asaṅgahitena    
asaṅgaho    
asaṅkhiye    
asaṅkhiyā    
asaṅkhyeyyaṃ    
asaṅkhyeyyo    
asaṅkhyeyyānaṃ    
asaṅkhyeyyāni    
asekkhā    
asesato    
asoko    
asokā    
assamapadaṃ    
assamapaṇṇasālācaṅkamā    
assamaṃ    
assame    
assamo    
assaratanaṃ    
assasaddaṃ    
assatthoti    
assāti    
asucimpi    
asuciṃ    
asukassa    
asāruppabhāvo    
asītibhikkhusahassāni    
asītihatthamatte    
asītihatthappamāṇāyeva    
asītihatthubbedhaṃ    
asītikoṭidhanaṃ    
asītikoṭisahassāni    
asītikoṭiyo    
asītisahassāni    
asītivassasahassāni    
atha    
athassa    
atibrahmāti    
aticchattanti    
atidevo    
atidevoti    
atidhajoti    
atidhāvanto    
atikkamitvā    
atikkamma    
atikkante    
atirekabhāṇavāramatto    
atirekabhāṇavāro    
atirekachabhāṇavāramattaṃ    
atirekachabhāṇavāraṃ    
atirekadvibhāṇavāramatto    
atirekadvibhāṇavāraṃ    
atirekapañcabhāṇavārā    
atirekappamāṇaṃ    
atirekappamāṇo    
atirekataro    
atirekatarā    
atirekaterasamattabhāṇavāraṃ    
atirocati    
atirājakumāroti    
atisambādhatā    
ativisālatā    
ativisālatāti    
ativiya    
attabhāve    
attano    
attanā    
attapariccāgaṃ    
attatthaparatthādibhede    
atthadassī    
atthajotanā    
atthajātaṃ    
atthapaṭisambhidāti    
atthassa    
atthato    
atthaṃ    
atthe    
atthesu    
atthi    
atthibhāvampi    
atthibhāvo    
atthipaccayo    
attho    
atthoti    
atthuddhārabhūtaṃ    
atthuddhāroti    
atthā    
atthānurūpaṃ    
atthīti    
attānañca    
attānaṃ    
atulo    
avabodho    
avakujjo    
avasesaṃ    
avasesā    
avatvā    
avedi    
avelāya    
avidūrenidānakathā    
avidūrenidānaṃ    
avigatapaccayoti    
avijjā    
avijjābhāgino    
avijjāya    
aviparītasabhāvo    
aviparītāvabodhasaṅkhāto    
avisayo    
avisiṭṭhaṃ    
avivittaṃ    
aviññāya    
ayamassa    
ayampi    
ayamānubhāvo    
ayañca    
ayañhi    
ayaṃ    
ayogharapaṇḍitakāleti    
